state,rho_global_mean,rho_season_sd,fI_global_mean,fI_season_sd,fR_global_mean,fR_season_sd,psi_1,psi_2,phi_global_mean,phi_season_sd,kappa_global_mean,kappa_season_sd,omega,nu,alpha_inv,rho_state,fI_state,fR_state,phi_state,kappa_state,delta_beta_state_mean_0,delta_beta_state_mean_1,delta_beta_state_mean_2,delta_beta_state_mean_3,delta_beta_state_mean_4,delta_beta_state_mean_5,delta_beta_state_mean_6,delta_beta_state_mean_7,delta_beta_state_mean_8,delta_beta_state_mean_9,delta_beta_state_mean_10,delta_beta_state_mean_11,delta_beta_state_mean_12,delta_beta_state_mean_13,delta_beta_state_mean_14,delta_beta_state_mean_15,delta_beta_state_mean_16,delta_beta_state_mean_17,delta_beta_state_mean_18,delta_beta_state_mean_19,delta_beta_state_mean_20,delta_beta_state_mean_21,delta_beta_state_mean_22,delta_beta_state_mean_23,delta_beta_state_mean_24,delta_beta_state_mean_25
GA,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.003102025230241872,0.7718548793483101,0.8047793858447452,1.0000005569095616,1.1267218086553608,0.9959472546290306,-0.017713707567451602,-0.03259140129876608,0.0865360465951807,0.23264711559142584,0.0465733071026696,0.057750427795702095,0.11416514786868937,0.0802959888871197,0.2535061811793726,0.253184904825839,0.2968281189968358,-0.03924788457843589,-0.15192454024346055,-0.08720783767263812,0.04735884347052738,0.01906022464859325,0.07114422383362196,-0.0047989251522352235,-0.10659248303984496,0.045891670325551984,0.0330212830703423,-0.04266085987261914,-0.08658841513192542,-0.04306699735436296,0.07688167371906265,-0.13498810103628134
HI,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0024121664313965932,1.2094352857055202,1.6106371774162658,0.9999999617785873,0.8983198637480471,0.9273505738783194,-0.015096807611291783,0.01605856743962126,-0.08137442387251903,0.025763666955318686,0.29816395730417644,-0.023830755079544443,-0.11056600577552948,0.1711063451232696,0.03980818667282211,0.03152075595009353,0.036822068996438716,0.20459218559363146,-0.19387400807801278,-0.16358370414018847,0.05231217522155088,-0.3386095161521724,0.19498367314695542,-0.10845340069299333,0.021625267891294854,-0.0738130544637299,-0.02407139703649912,0.14903460811428104,-0.16133937911562585,-0.255242968252805,0.0792795041275964,0.1231196648628303
ID,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.002505207322387036,1.0242978704915418,1.1214981878508037,0.9999990993812147,1.1934886697994616,0.966172861323725,0.02135389608272771,-0.044396158279409806,0.08754878852151667,0.004290806910177749,0.05952309583122346,0.12629853867012425,0.1426635671430434,0.13340475361718174,0.09113971217210365,0.2596594554873299,0.20479591872388875,0.004188023010374534,-0.22575950735440686,-0.06673397442230453,-0.07094043157522859,0.10646560122455949,0.04287974252532775,0.030126113224077627,0.14559966577936603,-0.048953054804083906,-0.03021356621941307,0.10789788639226443,-0.04129085937540619,-0.03482851356882232,-0.1282587730958985,-0.15182052039101293
IL,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.003861687616847527,0.6185063552842389,0.6642492211590172,1.0000087407342795,1.0884393263008212,1.0246590219255212,0.03526196037692011,0.007726459971965097,0.10113860388742145,0.08306306248003252,0.056859981376311985,0.17627905339612282,0.11205919597062369,0.10267549665484796,0.12842448978362514,0.3377979171340313,0.2701938604821779,0.028751819182923515,-0.11830542085595297,-0.044709438636898496,0.035723994525684394,0.07515334484858249,0.0791574507738946,0.07441211774464868,0.1165205020888387,0.013757561379786634,0.07496135305310297,-0.01894807924646357,0.0036144886891541174,0.007255549356209468,0.11151259742954107,0.08334902963142646
IN,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0031322229905600425,1.0126532946156188,0.6725890787683525,1.0000000511423741,1.089154761456177,0.9985156780043993,-0.0023083068904039125,0.0250875033026555,0.06580871506193076,0.10866011261487224,0.10114081640576462,0.055885049011417935,0.11045465068995325,0.09648085663194003,0.19127756572563723,0.25294022061100874,0.2830426499253683,0.06376478114761433,-0.14191449809053275,-0.050211568328152816,0.10188035972482629,0.15551723644383247,0.11221116883468074,0.043702902997786036,0.13272467995711834,0.016655000986731755,0.09406915363779005,-0.008866259925743414,-0.09362765572634116,-0.1015578348010317,-0.012403771902553866,-0.04522455174948076
IA,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0026841429001438575,0.5893645637218335,0.994625102821445,0.9992982511730282,1.1875131655419489,1.0355136131807745,-0.02027463625963239,0.026851442518063616,0.051208505965149365,0.07224493813623314,-0.04174098510444131,0.05628234038754351,0.12543917157188766,0.044772337702756196,0.07560254323983952,0.29950899119432806,0.2574183285005379,0.03973827795038512,-0.04510345973683956,0.008955772240914183,0.02243413648924132,0.13076219507794792,0.10976681802924529,0.029788267473121584,0.05362807340719933,0.025397016989502967,0.06508855884862799,0.02394355735839318,-0.08710065049615989,-0.07086054480229718,0.09098823421716223,0.023564416225620603
KS,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0025714707286641466,0.7469365222060171,1.3459527321486346,1.0000029902847847,1.0630428115292352,1.0081198554587814,-0.061583485017899654,0.042763392968791135,-0.06426503898325361,-0.041092851363741745,0.05668060546630699,0.06012508114633193,0.10983097057046753,0.09725433604041614,0.15812149853154772,0.3228032922256784,0.17959318525052126,0.049381593009597324,-0.10994131923860054,-0.10920193716347273,0.04343790326983941,0.19029236008439981,0.12479265094960304,0.04346482969224818,-0.04123989349674634,-0.011487099838834077,0.020673490404926626,-0.01066930683824607,-0.07425556276006431,-0.07586703618339867,-0.06739478989345675,-0.024001695486109767
KY,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0029188013108243085,0.8354314841786742,1.1700745509655195,0.9999981539857368,1.1294403325389981,1.0486441054075535,-0.00493106502955854,-0.02808494289583524,0.005157532452055103,0.1266925642556228,-0.07872701102226469,0.1225830188639157,0.12536016589070154,0.04094245451996713,0.15936067786427102,0.2812498231424479,0.3209200201658028,0.03676482265246073,-0.13063361997518552,-0.08133808252990307,0.08591556818860563,0.1318784197537488,0.1391438907404678,0.08944940203015833,0.05145254552259959,0.08865744921716381,0.07684818096352984,0.018186097040005567,-0.010598578736591893,-0.009506068376512895,0.049628210234067965,-0.10371259829267519
LA,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.002932338804844241,1.1001862416903578,1.343425506581041,0.9999976993645527,0.9335059338533308,0.9728160093334159,0.12148224287518201,0.04950246617269581,-0.0027283820314415114,0.23304580776645234,0.04524083541169473,0.008137544191899724,0.06111822714531989,0.11383468657500952,0.11042194522353652,0.2360079773567087,0.1555682821197269,-0.022818991744505267,-0.13484327286733855,-0.09852601018829735,0.044392425588479126,0.04914069678196056,-0.016510668339305937,0.04088120360237946,0.011507903261178974,0.031913076038147296,0.056574114845668155,-0.021821726646021285,-0.07508709472282125,-0.03920640413212525,-0.05053602228800472,0.04840813334980007
ME,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.002412196862322629,0.978963576073531,1.4070104699341206,0.9999974135442784,0.929868983621144,0.9721508382635574,-0.08594304487063412,0.03890240641676373,-0.16001838458623907,0.130472296962291,-0.18532218675441217,0.3279042973087176,-0.035810424628897566,0.06427993162255445,0.1386605298495942,0.16217768639750274,0.3698193019043863,0.23953233656869377,-0.14883873402654363,-0.061265946989544406,-0.06072033678317501,0.1567943143161214,0.08561604979220731,0.0604336124221965,0.02944788083572314,-0.05925983318377937,0.023910210566249743,-0.13150522782602736,-0.026451464549061755,-0.12807618723922864,0.09439115305688096,-0.05918474723334961
