training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,21,0,0.10713312183523455,0.14953173397096364
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,21,1,0.10605236924513642,0.09402894964827624
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,21,2,0.09644875128706666,0.07320340402329517
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,21,3,0.19316060818798372,0.40021575222202044
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,22,0,0.0657056545425784,0.09044990292207222
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,22,1,0.16958239899431493,0.333491608483075
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,22,2,0.2554081753388071,0.4700036292457357
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,22,3,0.14226555735365512,0.2542815981028137
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,23,0,0.22131175635433,0.18232155679395456
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,23,1,0.2504060321093013,0.6241543090729939
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,23,2,0.4324333310303958,1.0296194171811581
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,23,3,0.2973132893168906,0.3483066942682159
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,24,0,0.1432592186096519,0.19237189264745602
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,24,1,0.11039938876633516,0.05657035148839462
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,24,2,0.1143839413452871,0.04512043528046972
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,24,3,0.15974461039828963,0.22647134140688463
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,25,0,0.11962050544633047,0.12248576518328935
