,reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
105,2026-03-28,wk inc flu hosp,0,06,quantile,0.6,2619,2026-03-28
106,2026-03-28,wk inc flu hosp,0,06,quantile,0.65,2624,2026-03-28
107,2026-03-28,wk inc flu hosp,0,06,quantile,0.7,2654,2026-03-28
108,2026-03-28,wk inc flu hosp,0,06,quantile,0.75,2698,2026-03-28
109,2026-03-28,wk inc flu hosp,0,06,quantile,0.8,2743,2026-03-28
110,2026-03-28,wk inc flu hosp,0,06,quantile,0.85,2787,2026-03-28
111,2026-03-28,wk inc flu hosp,0,06,quantile,0.9,2831,2026-03-28
112,2026-03-28,wk inc flu hosp,0,06,quantile,0.95,2875,2026-03-28
113,2026-03-28,wk inc flu hosp,0,06,quantile,0.975,2897,2026-03-28
114,2026-03-28,wk inc flu hosp,0,06,quantile,0.99,2910,2026-03-28
115,2026-03-28,wk inc flu hosp,0,08,quantile,0.01,522,2026-03-28
116,2026-03-28,wk inc flu hosp,0,08,quantile,0.025,527,2026-03-28
117,2026-03-28,wk inc flu hosp,0,08,quantile,0.05,536,2026-03-28
118,2026-03-28,wk inc flu hosp,0,08,quantile,0.1,554,2026-03-28
119,2026-03-28,wk inc flu hosp,0,08,quantile,0.15,572,2026-03-28
120,2026-03-28,wk inc flu hosp,0,08,quantile,0.2,589,2026-03-28
121,2026-03-28,wk inc flu hosp,0,08,quantile,0.25,607,2026-03-28
122,2026-03-28,wk inc flu hosp,0,08,quantile,0.3,625,2026-03-28
123,2026-03-28,wk inc flu hosp,0,08,quantile,0.35,638,2026-03-28
124,2026-03-28,wk inc flu hosp,0,08,quantile,0.4,640,2026-03-28
125,2026-03-28,wk inc flu hosp,0,08,quantile,0.45,642,2026-03-28
126,2026-03-28,wk inc flu hosp,0,08,quantile,0.5,644,2026-03-28
127,2026-03-28,wk inc flu hosp,0,08,quantile,0.55,646,2026-03-28
128,2026-03-28,wk inc flu hosp,0,08,quantile,0.6,648,2026-03-28
129,2026-03-28,wk inc flu hosp,0,08,quantile,0.65,650,2026-03-28
130,2026-03-28,wk inc flu hosp,0,08,quantile,0.7,654,2026-03-28
131,2026-03-28,wk inc flu hosp,0,08,quantile,0.75,660,2026-03-28
132,2026-03-28,wk inc flu hosp,0,08,quantile,0.8,665,2026-03-28
133,2026-03-28,wk inc flu hosp,0,08,quantile,0.85,670,2026-03-28
134,2026-03-28,wk inc flu hosp,0,08,quantile,0.9,676,2026-03-28
135,2026-03-28,wk inc flu hosp,0,08,quantile,0.95,681,2026-03-28
136,2026-03-28,wk inc flu hosp,0,08,quantile,0.975,683,2026-03-28
137,2026-03-28,wk inc flu hosp,0,08,quantile,0.99,685,2026-03-28
138,2026-03-28,wk inc flu hosp,0,09,quantile,0.01,604,2026-03-28
139,2026-03-28,wk inc flu hosp,0,09,quantile,0.025,607,2026-03-28
140,2026-03-28,wk inc flu hosp,0,09,quantile,0.05,612,2026-03-28
141,2026-03-28,wk inc flu hosp,0,09,quantile,0.1,623,2026-03-28
142,2026-03-28,wk inc flu hosp,0,09,quantile,0.15,634,2026-03-28
143,2026-03-28,wk inc flu hosp,0,09,quantile,0.2,644,2026-03-28
144,2026-03-28,wk inc flu hosp,0,09,quantile,0.25,654,2026-03-28
145,2026-03-28,wk inc flu hosp,0,09,quantile,0.3,665,2026-03-28
146,2026-03-28,wk inc flu hosp,0,09,quantile,0.35,676,2026-03-28
147,2026-03-28,wk inc flu hosp,0,09,quantile,0.4,689,2026-03-28
148,2026-03-28,wk inc flu hosp,0,09,quantile,0.45,701,2026-03-28
149,2026-03-28,wk inc flu hosp,0,09,quantile,0.5,714,2026-03-28
150,2026-03-28,wk inc flu hosp,0,09,quantile,0.55,727,2026-03-28
151,2026-03-28,wk inc flu hosp,0,09,quantile,0.6,739,2026-03-28
152,2026-03-28,wk inc flu hosp,0,09,quantile,0.65,752,2026-03-28
153,2026-03-28,wk inc flu hosp,0,09,quantile,0.7,760,2026-03-28
154,2026-03-28,wk inc flu hosp,0,09,quantile,0.75,765,2026-03-28
155,2026-03-28,wk inc flu hosp,0,09,quantile,0.8,770,2026-03-28
156,2026-03-28,wk inc flu hosp,0,09,quantile,0.85,775,2026-03-28
157,2026-03-28,wk inc flu hosp,0,09,quantile,0.9,780,2026-03-28
158,2026-03-28,wk inc flu hosp,0,09,quantile,0.95,786,2026-03-28
159,2026-03-28,wk inc flu hosp,0,09,quantile,0.975,788,2026-03-28
160,2026-03-28,wk inc flu hosp,0,09,quantile,0.99,790,2026-03-28
161,2026-03-28,wk inc flu hosp,0,10,quantile,0.01,44,2026-03-28
162,2026-03-28,wk inc flu hosp,0,10,quantile,0.025,46,2026-03-28
163,2026-03-28,wk inc flu hosp,0,10,quantile,0.05,50,2026-03-28
164,2026-03-28,wk inc flu hosp,0,10,quantile,0.1,59,2026-03-28
165,2026-03-28,wk inc flu hosp,0,10,quantile,0.15,67,2026-03-28
166,2026-03-28,wk inc flu hosp,0,10,quantile,0.2,76,2026-03-28
167,2026-03-28,wk inc flu hosp,0,10,quantile,0.25,84,2026-03-28
168,2026-03-28,wk inc flu hosp,0,10,quantile,0.3,92,2026-03-28
169,2026-03-28,wk inc flu hosp,0,10,quantile,0.35,99,2026-03-28
170,2026-03-28,wk inc flu hosp,0,10,quantile,0.4,101,2026-03-28
171,2026-03-28,wk inc flu hosp,0,10,quantile,0.45,103,2026-03-28
172,2026-03-28,wk inc flu hosp,0,10,quantile,0.5,105,2026-03-28
173,2026-03-28,wk inc flu hosp,0,10,quantile,0.55,107,2026-03-28
174,2026-03-28,wk inc flu hosp,0,10,quantile,0.6,109,2026-03-28
175,2026-03-28,wk inc flu hosp,0,10,quantile,0.65,111,2026-03-28
176,2026-03-28,wk inc flu hosp,0,10,quantile,0.7,114,2026-03-28
177,2026-03-28,wk inc flu hosp,0,10,quantile,0.75,117,2026-03-28
178,2026-03-28,wk inc flu hosp,0,10,quantile,0.8,120,2026-03-28
179,2026-03-28,wk inc flu hosp,0,10,quantile,0.85,124,2026-03-28
180,2026-03-28,wk inc flu hosp,0,10,quantile,0.9,127,2026-03-28
181,2026-03-28,wk inc flu hosp,0,10,quantile,0.95,130,2026-03-28
182,2026-03-28,wk inc flu hosp,0,10,quantile,0.975,131,2026-03-28
183,2026-03-28,wk inc flu hosp,0,10,quantile,0.99,132,2026-03-28
184,2026-03-28,wk inc flu hosp,0,11,quantile,0.01,56,2026-03-28
185,2026-03-28,wk inc flu hosp,0,11,quantile,0.025,57,2026-03-28
186,2026-03-28,wk inc flu hosp,0,11,quantile,0.05,57,2026-03-28
187,2026-03-28,wk inc flu hosp,0,11,quantile,0.1,58,2026-03-28
188,2026-03-28,wk inc flu hosp,0,11,quantile,0.15,59,2026-03-28
189,2026-03-28,wk inc flu hosp,0,11,quantile,0.2,60,2026-03-28
190,2026-03-28,wk inc flu hosp,0,11,quantile,0.25,61,2026-03-28
191,2026-03-28,wk inc flu hosp,0,11,quantile,0.3,62,2026-03-28
192,2026-03-28,wk inc flu hosp,0,11,quantile,0.35,63,2026-03-28
193,2026-03-28,wk inc flu hosp,0,11,quantile,0.4,64,2026-03-28
194,2026-03-28,wk inc flu hosp,0,11,quantile,0.45,65,2026-03-28
195,2026-03-28,wk inc flu hosp,0,11,quantile,0.5,66,2026-03-28
196,2026-03-28,wk inc flu hosp,0,11,quantile,0.55,68,2026-03-28
197,2026-03-28,wk inc flu hosp,0,11,quantile,0.6,69,2026-03-28
198,2026-03-28,wk inc flu hosp,0,11,quantile,0.65,70,2026-03-28
199,2026-03-28,wk inc flu hosp,0,11,quantile,0.7,71,2026-03-28
200,2026-03-28,wk inc flu hosp,0,11,quantile,0.75,74,2026-03-28
201,2026-03-28,wk inc flu hosp,0,11,quantile,0.8,76,2026-03-28
202,2026-03-28,wk inc flu hosp,0,11,quantile,0.85,78,2026-03-28
203,2026-03-28,wk inc flu hosp,0,11,quantile,0.9,80,2026-03-28
204,2026-03-28,wk inc flu hosp,0,11,quantile,0.95,82,2026-03-28
205,2026-03-28,wk inc flu hosp,0,11,quantile,0.975,83,2026-03-28
206,2026-03-28,wk inc flu hosp,0,11,quantile,0.99,84,2026-03-28
207,2026-03-28,wk inc flu hosp,0,12,quantile,0.01,2993,2026-03-28
208,2026-03-28,wk inc flu hosp,0,12,quantile,0.025,3021,2026-03-28
209,2026-03-28,wk inc flu hosp,0,12,quantile,0.05,3066,2026-03-28
210,2026-03-28,wk inc flu hosp,0,12,quantile,0.1,3158,2026-03-28
211,2026-03-28,wk inc flu hosp,0,12,quantile,0.15,3249,2026-03-28
212,2026-03-28,wk inc flu hosp,0,12,quantile,0.2,3340,2026-03-28
213,2026-03-28,wk inc flu hosp,0,12,quantile,0.25,3432,2026-03-28
214,2026-03-28,wk inc flu hosp,0,12,quantile,0.3,3523,2026-03-28
215,2026-03-28,wk inc flu hosp,0,12,quantile,0.35,3595,2026-03-28
216,2026-03-28,wk inc flu hosp,0,12,quantile,0.4,3629,2026-03-28
217,2026-03-28,wk inc flu hosp,0,12,quantile,0.45,3662,2026-03-28
218,2026-03-28,wk inc flu hosp,0,12,quantile,0.5,3696,2026-03-28
