,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"z[18, 2024-2025, AR]",-0.05653600937015312,0.056914440142678845,-0.1442193693698788,0.04257901021892125,665.1716917811137,317.53759923049984,1.0028590442814704,0.0022153437218303228,0.001650044195565618
"z[18, 2024-2025, CA]",-0.023201374979353605,0.058391900219147544,-0.11087970853822132,0.07307516134636442,623.8401071600929,341.76258801411774,1.006134458220083,0.0023484078129559797,0.0014604792541898733
"z[18, 2024-2025, CO]",0.027363755514693104,0.06567757939733966,-0.07853893800779252,0.13234533208486582,755.3647170039458,339.2486728645372,1.0023329961383756,0.0023788206093970773,0.0016172362977035976
"z[18, 2024-2025, CT]",0.05397700763127995,0.05980665362948901,-0.0494694658942847,0.141369300173692,811.5363783705218,355.72526866111605,1.0086569786779767,0.002059822801560853,0.0016290980029716642
"z[18, 2024-2025, DE]",0.057879813987149704,0.06194188308876331,-0.039727020654293274,0.15158659283697926,771.2678901488812,317.90561283902497,1.0089225182321726,0.0022071913056437085,0.0014491254223092677
"z[18, 2024-2025, DC]",0.05658516159751927,0.06694925875958943,-0.05673718495658613,0.15513832328677846,775.0847746354497,388.8433075607972,0.9996743107352101,0.0024257936048464263,0.0016748102889223154
"z[18, 2024-2025, FL]",0.04453606544084938,0.07908137975527327,-0.08420662123913038,0.1709856850694087,940.6361045300229,275.4099933797866,1.0264192744953795,0.002572521988625544,0.0016696736281656258
"z[18, 2024-2025, GA]",0.0,0.0,0.0,0.0,400.0,400.0,,0.0,
"z[18, 2024-2025, HI]",0.032169513229743,0.05061227222231415,-0.04841969977141292,0.11128131046994127,1008.1405112694033,299.11036008051485,1.0069498683705842,0.0016631230445082702,0.0011724728353580953
"z[18, 2024-2025, ID]",-0.013844921375804281,0.05951652988881173,-0.10650160851523972,0.07343636174618709,1040.823996531185,294.70310854736056,1.0209095193293336,0.0018471089018233097,0.0013373600396758341
"z[18, 2024-2025, IL]",-0.06317684577728735,0.06269275120597095,-0.16308102998083895,0.036177285676598045,1040.823996531185,361.9967789028684,1.012982704558293,0.0019456836453449174,0.0012496630251363353
"z[18, 2024-2025, IN]",-0.0785828321091439,0.0608377796286761,-0.17305641845383368,0.020711872322643623,1031.6216023574548,361.53535074123084,1.008399566376172,0.0019281001903896776,0.001374770628625504
"z[18, 2024-2025, IA]",-0.038487020657488005,0.05776269072539667,-0.12957433522916348,0.05827533549098584,840.5040663214197,348.7557122718267,1.0112215040510697,0.0020633290968392433,0.001548675440411638
"z[18, 2024-2025, KS]",0.021484931538544777,0.06286174736809731,-0.07632437028278527,0.12205835214270407,686.7948808496319,146.05447996873573,1.0526588671128079,0.0023930183375272785,0.0016585343315772935
"z[18, 2024-2025, KY]",0.06927492124299965,0.06463186514179073,-0.027182067576504973,0.1726030557083145,617.6576811217022,343.0416109673201,1.0205099414281835,0.0025681768998714783,0.0020503785516228566
"z[18, 2024-2025, LA]",0.07279643785303855,0.06691374604822616,-0.02501102275871426,0.1773825918754869,792.9972312594593,266.7949489141982,1.0023550153442875,0.002436291776480052,0.0018456608299493114
"z[18, 2024-2025, ME]",0.024145185096654576,0.06390242729485765,-0.08347800414911924,0.12341388839908961,886.865611819304,343.9439651168276,1.005862362602713,0.002136270134272147,0.0015493304050962246
"z[18, 2024-2025, MD]",-0.03426692895892725,0.0577260236979877,-0.1269180599613077,0.05993783972254374,606.2110539488705,374.74765124544047,1.0094055391639047,0.002339211096323651,0.0015322395566846237
"z[18, 2024-2025, MA]",-0.06865782916037597,0.061364036920098126,-0.16739756846394477,0.0316548948002451,707.524480831529,297.56205347278495,0.9996336793017575,0.0023040069776793723,0.001422231280119893
"z[18, 2024-2025, MI]",-0.06832135168613035,0.05416110158426469,-0.1562955354966971,0.0224593736594014,584.1573576470547,283.50165300484565,1.0174422369576823,0.002282254847631612,0.0016212855760816731
"z[18, 2024-2025, MN]",-0.05108582241518505,0.059660483073074456,-0.14550529170488521,0.042306716260587955,666.2299345547884,356.541337477523,1.005017279466151,0.002315917846990169,0.0015683854006426777
"z[18, 2024-2025, MS]",-0.0018191555900763713,0.05463773460496788,-0.08582380800122945,0.08643109214200186,717.1280600939843,350.4072424597224,0.9966393568269419,0.002033959173912636,0.001345422184513473
"z[18, 2024-2025, MO]",0.066279925181544,0.05224069597477746,-0.022684508434036195,0.14984148453065488,583.783008422477,363.37900218661207,1.003187426161676,0.002127421174720925,0.001495815272666739
"z[18, 2024-2025, MT]",0.07741260485590146,0.05239108476098003,-0.008278438743798935,0.1582139771552364,563.102364735311,392.54471863167504,1.001994400026861,0.0022140125996106463,0.0015607989572939845
"z[18, 2024-2025, NE]",0.042994040025760884,0.049736494793083584,-0.03560689606452283,0.12012400165518268,658.7319183671431,357.8352409634066,1.0021202869885106,0.0019266211956484142,0.001329684392529596
"z[18, 2024-2025, NV]",0.10447491623655691,0.05365424057207446,0.023789851273031515,0.1909051636912025,476.88910706924935,357.30798106012736,1.0175445409871509,0.0024860076953575286,0.0017208629600406523
"z[18, 2024-2025, NH]",0.14538997452719596,0.05227832608178892,0.05983104089614154,0.2302179865014087,409.05027314039495,381.5960410254455,1.0071097744186654,0.0025463731736531984,0.0016907945109738479
"z[18, 2024-2025, NJ]",0.11966306295856582,0.050634039115735746,0.038641685174316875,0.21210286424270564,625.454971359113,369.9358811564871,1.0031615571268535,0.0020047967055066823,0.0014470530133848486
"z[18, 2024-2025, NM]",0.04696586709840726,0.04835754102425239,-0.026590064131542062,0.1200504665761099,632.5081389048581,386.9496613455484,0.9993124053754131,0.0019259527713635148,0.0013734500755310413
"z[18, 2024-2025, NY]",-0.0348929555659641,0.05032650978819402,-0.11297459177251074,0.04358529833802944,562.8816318342564,362.85913037711066,1.0153577132332656,0.002128516189789246,0.0013688861065991023
"z[18, 2024-2025, NC]",-0.0699194497709125,0.053784989104585214,-0.1533085695141174,0.015790485198879912,582.001706152611,340.44384853439936,1.0001289425374933,0.0022363156557209923,0.0014707028139146578
"z[18, 2024-2025, ND]",-0.06712869531136113,0.05310939831163623,-0.14807314312552292,0.01829639023690035,713.8000381580304,404.037684381108,0.9976418278841283,0.001959166270734819,0.0015184081521127926
"z[18, 2024-2025, OH]",-0.05141190001678979,0.05878971650890561,-0.1444633299743743,0.04601578884527054,521.5837078021788,322.2338336499175,1.0089708426034054,0.0025565413241450626,0.0017745561736047636
