state,rho_global_mean,rho_season_sd,fI_global_mean,fI_season_sd,fR_global_mean,fR_season_sd,psi_1,psi_2,phi,omega,a_garch,b_garch,alpha_inv,rho_state,fI_state,fR_state,delta_beta_state_mean_0,delta_beta_state_mean_1,delta_beta_state_mean_2,delta_beta_state_mean_3,delta_beta_state_mean_4,delta_beta_state_mean_5,delta_beta_state_mean_6,delta_beta_state_mean_7,delta_beta_state_mean_8,delta_beta_state_mean_9,delta_beta_state_mean_10,delta_beta_state_mean_11,delta_beta_state_mean_12,delta_beta_state_mean_13,delta_beta_state_mean_14,delta_beta_state_mean_15,delta_beta_state_mean_16,delta_beta_state_mean_17,delta_beta_state_mean_18,delta_beta_state_mean_19,delta_beta_state_mean_20,delta_beta_state_mean_21,delta_beta_state_mean_22,delta_beta_state_mean_23,delta_beta_state_mean_24,delta_beta_state_mean_25,delta_beta_state_mean_26,delta_beta_state_mean_27,delta_beta_state_mean_28,delta_beta_state_mean_29,delta_beta_state_mean_30,delta_beta_state_mean_31,delta_beta_state_mean_32,delta_beta_state_mean_33,delta_beta_state_mean_34
HI,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.000551174336724405,1.2144217205558065,2.082937278214916,0.9681308096243069,0.008878084288917757,-0.17040145981394023,-0.09930813224622,0.068486408795982,0.16107392607206,0.08521974220919641,-0.04593158099513364,0.01592493559833941,0.19641449552932488,0.23499300692904168,0.11578692300853899,0.033526257620963625,0.0636818728714632,0.12103968448514461,0.12753945026227756,0.10035924740666341,0.05082024537591716,-0.010639039509570753,-0.06637228921719487,-0.09936414664216803,-0.06455702433764408,-0.01837967252963444,-0.02134499715710371,-0.03859653695416302,0.0008367825943136241,0.05373111760706665,0.005816653297160073,-0.12894190638764016,-0.1629533005190022,-0.02610892461832337,0.09687764239715901,0.1281999043268925,0.18128784756548402,0.1873327892396693,-0.29699913633184816
ID,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0008027193764718647,0.8415340616467158,0.42763703072633896,1.0357149255261815,0.078739394064093,0.08454013499074069,0.11801578911142427,0.1520706265237518,0.1606583574648926,0.1700429882264275,0.18114957368550838,0.17664999832031308,0.17053363072291106,0.19605708612667616,0.24433991741463595,0.238305583601667,0.19355191205148553,0.2149801476305171,0.3050676507249155,0.2919084415277451,0.07524819049624396,-0.12124231596578773,-0.08473286361833007,0.06263485116161213,0.14597432776077635,0.1524553283859984,0.14576052672993456,0.1333385693027448,0.11936074066135738,0.10491200828504747,0.11024728319111143,0.11487996439418938,0.05733217719267724,-0.04377694298521524,-0.0689228953944985,0.02161073820006168,0.08510270757859478,0.07491571622390762,0.1066308784141876
IL,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.002315856948809093,1.081343293563823,0.6270594996684835,1.0226735349476423,0.06453198103847306,0.06350375566229216,0.02342885886433934,0.02060514255547196,0.05810875165791485,0.09295572140329769,0.12231759374375112,0.13755786914209925,0.1551474155813411,0.17698424531972057,0.18993328329882653,0.17557513620601567,0.15190895432102414,0.21272246549364188,0.34435900317541046,0.34719077487422306,0.11788924598448952,-0.10424306606898633,-0.09297376603406615,0.04013059295341481,0.09662757607095085,0.0851983864516562,0.07519457576958236,0.07494151351287066,0.05348747389023925,0.015576937705284708,-0.013279958982438939,-0.019357629875760014,0.0015187982006667174,0.04325482975884951,0.06751322758263714,0.057245727895576484,0.007807159570411669,-0.06792181575792561,-0.16460309341297108
IN,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.001788249993973979,1.0853376489754614,0.8597811477997331,1.0181779651801832,0.057531439764983705,0.0359996948869912,0.010872757519105075,0.030006964802348685,0.07624599226290632,0.09837775048409722,0.11830159473266377,0.14398118029341284,0.16727496162493183,0.1749189062429122,0.1532348611403042,0.13508640950984224,0.14840322909777873,0.22788359303844188,0.3327188960141156,0.3108452996498677,0.09128159301703716,-0.1029837348675206,-0.050454230441132245,0.11055374257678993,0.17201193371772966,0.15309858152640402,0.1174662721297956,0.09793723699432591,0.10038084983895093,0.09047838259561952,0.033050103273616196,-0.05936710604487909,-0.07941374371638665,-0.009923066355375262,0.023973670960818483,-0.021615880992520865,0.0022728553451628387,0.11510906653002873,0.01563712892005719
IA,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0013585002382919093,0.4920775497690524,0.7575443737519056,1.0295687938198497,0.05524291465039116,0.1353481619659867,0.05797669793853795,-0.04007909908493988,-0.0545496110787755,0.08072235014860604,0.2338001097862282,0.25247684762924016,0.16580821777363292,0.12028789630113193,0.16190445116627966,0.18160321525925388,0.17155772248942314,0.23102517900646807,0.3620513958221057,0.3885138901182956,0.21371427907063364,0.023034805766440507,0.032026134901697825,0.14206554559148665,0.22020848241656524,0.23834183188813843,0.21391093144558285,0.1938658053602837,0.20900560671321827,0.23190064422134066,0.18793959662372076,0.10680931496842085,0.08816686073999142,0.17194082893933207,0.24610725047407445,0.24802229790536823,0.14430954114739886,-0.011838845062665406,-0.17914063779863101
KS,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0007572097201483596,0.7318089804314978,0.8111398637950107,0.9399375110595609,0.04622191364558481,0.13102177876167126,0.09067618983995847,0.03436047364618376,0.00526241227706512,0.006580729610658249,0.01210603653771458,0.03748659487338645,0.05153452608671229,0.0786948065985658,0.11629647547203834,0.13962924681849914,0.16199680947041065,0.21469921083532462,0.2887272810612428,0.26209061779334525,0.0766835121256986,-0.08665562975582881,-0.055537738955716634,0.0791501543280696,0.17581036754490548,0.18400356208220395,0.10377343553621493,0.00859988597886754,-0.0027064232012493335,0.04277674671600239,0.04708741597024063,-0.02096164440576996,-0.08839183731414069,-0.08668570766340578,0.012548406201873521,0.14300193148143592,0.04112038587133031,-0.26282846653632186,-0.04415112453507346
KY,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0020207042802886576,1.1151168461889145,1.2067237236173083,0.9675798046216368,0.0248847055199716,0.04631647136276425,0.016755509187148698,0.009308985327002075,0.019728069101403747,0.020120474714998816,0.025934984258576092,0.03605563421400895,0.06053787971782444,0.08748827818671556,0.10420761603911491,0.11117840558563546,0.13003314536180527,0.21725700427611244,0.3550915555578846,0.34842985246412783,0.10891659582848502,-0.118264819020606,-0.08769824308509973,0.06754420417176676,0.13989277242150122,0.12530843404054187,0.093140738329236,0.06629685810112039,0.06217547687633193,0.053364492977932707,0.0298380346616229,-0.006608626475953066,-0.02751973753875889,-0.0257639858212075,-0.019146107485905388,-0.03356603017656805,-0.06122850035166241,-0.08608148224308511,-0.03977772067267547
LA,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0018268758442710068,1.5248876234803848,1.804469324826458,1.016259442175786,-0.0365729516296481,0.07978743548643522,0.03531464353492491,0.04477247652108414,0.09453960192718411,0.11729737648314043,0.12186874255521177,0.14138311073321064,0.16423910992262286,0.1434132285635775,0.0813447927199347,0.0598789032514733,0.10509023631187817,0.1860862154374743,0.2624642622401362,0.21871620152880816,0.026451787547974073,-0.13239022765381037,-0.07911164699758413,0.04581022783769149,0.08201599810309307,0.046803051979188826,0.023825652313190587,0.028778289417755593,0.030774951462852577,0.021764492330238278,-0.012656942997149142,-0.04890475243412336,-0.07777737384767755,-0.06324007232922219,-0.005877293589199924,0.0706274445912751,0.06128192945227873,-0.042174151195551804,0.02087008822375517
ME,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0005174042160893625,0.5012666422311685,0.6180864668949868,1.1223956478310504,-0.06364405943964085,-0.10153125764235407,0.4836502616498545,0.562421119672795,0.2606403812344563,-0.007122673607215149,-0.06170756628508208,0.006266980523316102,0.1290340331472969,0.23812195867562147,0.31408519126057555,0.3064073592294215,0.2591604620828831,0.28580581394929316,0.4178673646755907,0.45414026079374226,0.31358873688600214,0.11378019377329407,0.04829204494977429,0.11839192196048985,0.23923923563316896,0.33265704753406633,0.3221852196833557,0.2601768686658041,0.23577243102085055,0.24613342891035628,0.2375550629312025,0.2057721517118434,0.22526641406066722,0.301210325538556,0.36493718189382396,0.3672559985646587,0.3461034388935079,0.27425218436555654,0.2292365890712943
MD,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0008618764367269684,0.6441214169080856,0.9650546950309493,1.0338161650716473,0.006738531639244127,0.03571934755653838,-0.1107032319463081,-0.05265457777046992,0.11552486039803717,0.17970222176851997,0.15210195025663448,0.15088566858839586,0.19197408673525584,0.21929848013127345,0.20889895955359306,0.19332612657007106,0.19942473059279975,0.24283752527878522,0.30831097002187224,0.29962081871206875,0.15892169610421947,0.007588342233343113,-0.0452125371118217,-0.007687034347148141,0.052481445655977704,0.10077075762724763,0.11017005036102652,0.09687178051879364,0.10896745428059876,0.1249643392674047,0.08328019783292173,0.008103573611868673,0.012672039086601063,0.11005661858629821,0.13952504227401197,0.060225884329035265,0.04028983063193013,0.14195941005092222,0.03469043582712367
MA,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.001864616704864036,1.064936602564536,0.764456106016625,0.95552752892165,-0.03265420874712295,-0.01998983791628224,0.0245073775164756,-0.02443581334227808,-0.06822534167484295,0.009025152656786186,0.13977434431317287,0.17285980257527644,0.13479009707059897,0.13720924059382933,0.19679191934698548,0.20049934024389465,0.13955224754223197,0.1448334039349566,0.2653104109581731,0.2990025158823618,0.14358329199190462,-0.035382001108899025,-0.061151129317039976,-0.0013057448499689164,0.023003683175805555,0.02457936930198329,0.056353504128268894,0.09008970163260485,0.06508617558207229,0.0004882989411348187,-0.0344532118671973,-0.01564306079392467,0.037655837668050335,0.0875182633031055,0.0869300279071841,0.02369983419641268,-0.0045184717968245885,0.03876285242093096,-0.02309755625983855
MI,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.002845635557433205,1.1670288055834033,1.533138710758189,1.0478435111788418,-0.01427467296197053,-0.0010041659437690672,-0.022033216993040977,-0.03527694778105707,-0.01985046890275822,0.034740614672447906,0.10844924159671215,0.17010244103066002,0.1942959127125326,0.18040747379677627,0.1537705785195457,0.14420608909002336,0.17008208187091609,0.24819405959242324,0.3374046975562943,0.3140775767219852,0.12017333688940916,-0.061641208672572056,-0.05021029980306717,0.05593316890930204,0.12524130214679963,0.14541636035978808,0.15540951574376327,0.15290865441935203,0.11251327573403119,0.04601987128525621,0.016749186977396253,0.02530922650907802,0.034069854740186395,0.02685420719602201,-0.0023173471541890825,-0.030466334708163303,-0.01814664733109846,0.04763841859402413,0.026133882212936187
MN,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0014030336581033697,0.936995280847561,0.25962829076080884,1.0283519173357762,-0.002415465819405919,0.039273555603503076,0.04222288313376468,0.0543857299563337,0.1050591831567805,0.1589166597762679,0.20385778533078258,0.22593317581762273,0.2051654027393875,0.18833534264998963,0.18022276531691017,0.2049802780621916,0.26003502082963986,0.3215570108367689,0.375590799503021,0.32924911399452755,0.14280161849348338,-0.03559996371970548,-0.05178808319612832,0.01661936043884561,0.06123525271819802,0.0712327810889486,0.05892412953309242,0.05153585145823554,0.07407192701892545,0.10432018979151969,0.077608423439347,0.01449292042267351,-0.02730343398102309,-0.010097421426544226,0.011695449652339703,0.0332314595600942,0.09105971760130932,0.12576863601114185,-0.3090724032024755
MS,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0014354123973634712,1.529604384230077,5.169208322699128,1.0727505119066185,-0.02180260022384979,-0.1440528419749008,-0.0007029100629852821,0.03414571816385276,-0.02368659317652154,-0.013096950340605772,0.0700411617489056,0.13976418034687177,0.16778694060902033,0.1381650206542404,0.0866330263093158,0.07390850583831504,0.13819393050934192,0.2474222535780091,0.3430127554471904,0.31503953670725293,0.1113220268660566,-0.06738154974586937,-0.024996283461482107,0.10064558731091025,0.14226550041855476,0.09301385620977978,0.015992062244811055,-0.025454003635456413,0.013157564639579115,0.0746459571795851,0.041501722291123866,-0.07140117958482202,-0.10160153769028082,-0.011367915383603239,0.04362719490587014,0.020476018274290287,0.03773747231635443,0.1392697322223465,0.044409030727077595
MO,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.002651460206641663,1.4117850561309897,0.8066362360926502,1.0208135297632925,0.004775797560930084,0.1382305869200466,0.10684087012662438,0.04632491881628613,0.005257549138461097,0.03060211299401643,0.09070076671512287,0.11487344801147378,0.10833636088241093,0.11611595631900568,0.13014832627573686,0.13199436744349233,0.13396982628029824,0.21682081122873065,0.35811025624038084,0.3648016954922684,0.14009985028698071,-0.08561938994107171,-0.07606085766772536,0.06586229565864202,0.15309319787487824,0.1594842849493665,0.11960333039825811,0.058517334907638344,0.025754019020472932,0.009335793800184159,-0.028925714665090866,-0.07757968887445059,-0.09016748790225038,-0.055006756460168664,-0.0034119002537188856,0.015879989902702712,-0.010139475519250648,-0.056683486049614346,0.05170044005504605
MT,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0008883283518788787,0.7449697311992078,0.6075869591681882,0.9572489006469627,0.0010721678060564707,0.14166518152656668,0.12491817913977354,0.05808179676577692,-0.014946298805905842,-0.08964412449198689,-0.12305046025366889,-0.052811761944604046,0.10032238424828607,0.2133887062338889,0.26188922673025444,0.2413120073589618,0.21143182878924427,0.2566139070712987,0.3751559201783946,0.37687698080362747,0.16141462850324123,-0.06291931912952844,-0.03876262913703075,0.1046164064506569,0.16990607927706092,0.14447514620391078,0.07204612813200904,0.032556706864239796,0.09806821923213582,0.1932139411698667,0.19476507034329588,0.09237882328352953,0.003830202048426332,0.010199748424878398,0.0548429605282523,0.051946618809644296,-0.07253516061381088,-0.22665215884256104,0.09960603899158688
NE,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0006559968627731945,0.892681084550343,0.9151434505370359,1.0131733820776794,-0.046852177289288865,0.10932554463042032,0.03233367827849708,0.033867729514705174,0.09657624416627639,0.06936575217274243,-0.0019449881703402427,-0.03468583267229255,0.003929879658092449,0.07921995606390664,0.16294135574089202,0.2094211384692264,0.22829866578878544,0.28580663486893054,0.3740730110510316,0.3442821005548612,0.12018556103572228,-0.07943375033781452,-0.0450391604063889,0.09704710044201817,0.15451484772465338,0.13381366101866285,0.11046932395574068,0.0824362748824368,0.05117848144742276,0.007692046209813191,-0.027291592039458627,-0.045642467011850235,-0.04160800358183895,-0.015264182414920148,0.035889086039365546,0.07007482043753994,-0.023135818703506603,-0.21908879025931555,0.015929210681818774
NV,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.000951998676588922,0.6999213780276861,1.2358006452585841,0.9749710525246278,0.020579110821450843,0.019890449810811443,-0.08362600420601207,-0.01916359696047633,0.12383754390792506,0.161659187082032,0.12302366508890145,0.1432745671801544,0.20078884739477537,0.17023150515989813,0.07284360826221324,0.062307133806930544,0.17471821755414169,0.27160550692035385,0.2789260298329325,0.19182192430601014,0.048669032981240756,-0.07358431278410112,-0.08917161205227594,-0.03405984765113444,0.03657069527186199,0.0732601651231064,0.05468379358363684,0.01847234307362003,0.01731897740130444,0.05282869118137165,0.08853742950030227,0.09586162780461746,0.06141542816181746,0.02184773241834581,0.035989423714002364,0.11198028253349498,0.13634271874670112,0.07251970754110267,0.0047017878311437986
